"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2892","TC001 - Checking if the home page has loaded successfully","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2984","TC003 - Checking the validation of an empty registration form","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","7725","TC005 - Checking access to the Voice API page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","8453","TC015 - Mobile Viewport: Checking the Hamburger Menu rendering","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","broken","2026-07-21","","","",""
"","2162","TC007 - Checking the redirect to the authorization portal","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","18314","TC009 - Checking the ""Terms and Conditions of Service"" link","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","1650","TC020 - Pricing Page: Toggling between Monthly and Annual","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3252","TC013 - Contact Us: Entering an invalid email address","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","4732","TC002 - Checking the transition to the registration page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","4863","TC004 - Checking if the pricing section opens on the main page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2820","TC011 - Contact Us: Checking validation of empty form submission","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3064","TC006 - Testing the ""Talk to an expert"" button","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3605","TC017 - Tabs: Switching to LinkedIn in a new window","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3253","TC016 - Navigation: Checking the transition to the Blog page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","1332","TC019 - Cookies storage: Verifying cookie is set after acceptance","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2624","TC012 - Contact Us: Interacting with the ""How can we help?"" dropdown","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","4087","TC014 - Footer: Navigating to the Our Network page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","1416","TC018 - Routing: Validating the 404 Not Found page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","6480","TC008 - Checking the Cookie Consent Banner","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","1947","TC010 - Checking for links to social networks","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
