"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2968","TC013 - Contact Us: Entering an invalid email address","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2109","TC006 - Testing the ""Talk to an expert"" button","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2208","TC010 - Checking for links to social networks","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2221","TC012 - Contact Us: Interacting with the ""How can we help?"" dropdown","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2533","TC011 - Contact Us: Checking validation of empty form submission","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3254","TC001 - Checking if the home page has loaded successfully","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2229","TC007 - Checking the redirect to the authorization portal","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3383","TC009 - Checking the ""Terms and Conditions of Service"" link","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3512","TC003 - Checking the validation of an empty registration form","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","5684","TC005 - Checking access to the Voice API page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3680","TC004 - Checking if the pricing section opens on the main page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","2991","TC020 - Pricing Page: Toggling between Monthly and Annual","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","1684","TC018 - Routing: Validating the 404 Not Found page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3862","TC017 - Tabs: Switching to LinkedIn in a new window","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3823","TC015 - Mobile Viewport: Checking the Hamburger Menu rendering","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3470","TC016 - Navigation: Checking the transition to the Blog page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","1464","TC019 - Cookies storage: Verifying cookie is set after acceptance","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3997","TC014 - Footer: Navigating to the Our Network page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","3974","TC002 - Checking the transition to the registration page","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
"","6472","TC008 - Checking the Cookie Consent Banner","Telnyx E2E Automation Tests (WDIO Migration)","2026-07-21","passed","2026-07-21","","","",""
